,rmse,mae,pnsr,ssim,ms_ssim,std,Date,bathy,Tide,Hs_m,Tp_m,Dir_m,rip
66,0.54013103,0.43722343,24.065199,0.72819704,0.9005959,1.2575612e-08,2017-03-29 16:30:00,2017-03-27,4.475,1.3499999698251486,18.11999959498644,277.5,1
67,0.6779946,0.5541917,22.090656,0.7151641,0.8965262,1.3799848e-08,2017-03-29 17:30:00,2017-03-27,4.2018,1.4299999680370092,17.81999960169196,277.5,1
68,0.65191317,0.55662704,22.431387,0.730273,0.90082514,1.5945346e-08,2017-03-29 17:45:00,2017-03-27,4.0876,1.4299999680370092,17.81999960169196,277.5,1
69,0.5879742,0.48140353,23.328016,0.7291843,0.8935664,1.5958307e-08,2017-03-29 18:00:00,2017-03-27,3.9275,1.499999966472387,17.65999960526824,277.5,1
70,0.5070112,0.4245509,24.61483,0.77357864,0.91232526,1.5824526e-08,2017-03-29 18:15:00,2017-03-27,3.7621,1.499999966472387,17.65999960526824,277.5,1
71,0.49849862,0.41529545,24.761902,0.78938293,0.91824615,1.5194615e-08,2017-03-29 18:30:00,2017-03-27,3.5595,1.499999966472387,17.65999960526824,277.5,1
72,0.5515131,0.40370512,24.73763,0.6896468,0.9076622,1.2557905e-08,2018-01-28 07:30:00,2018-01-31,1.37,1.4399999678134918,10.669999761506917,307.5,1
73,0.5573411,0.4269146,24.646326,0.7318497,0.90916854,1.40757095e-08,2018-01-28 07:45:00,2018-01-31,1.46,1.4399999678134918,10.669999761506917,307.5,1
74,0.5332794,0.39270377,25.02965,0.70780855,0.90987,1.1322868e-08,2018-01-28 08:15:00,2018-01-31,1.69,1.4299999680370092,10.619999762624502,307.5,1
75,0.4347275,0.32960874,26.804405,0.7242621,0.9247957,1.1188433e-08,2018-01-28 08:30:00,2018-01-31,1.82,1.4299999680370092,10.619999762624502,307.5,1
76,0.4834998,0.35024995,25.880821,0.6933233,0.9135108,1.1576276e-08,2018-01-28 09:00:00,2018-01-31,2.12,1.4299999680370092,10.64999976195395,307.5,1
77,0.46912667,0.33326483,26.142944,0.7657997,0.9330855,1.2045803e-08,2018-01-28 09:30:00,2018-01-31,2.44,1.4299999680370092,10.64999976195395,307.5,1
78,0.45533976,0.31631482,26.402035,0.7799228,0.9394268,1.3057701e-08,2018-01-28 10:15:00,2018-01-31,2.91,1.4499999675899744,10.719999760389328,307.5,1
79,0.44356978,0.32911628,26.629507,0.7848656,0.9413429,1.3091665e-08,2018-01-28 10:30:00,2018-01-31,3.06,1.4499999675899744,10.719999760389328,307.5,1
80,0.48690695,0.36900213,25.819828,0.7953099,0.9408921,1.4159582e-08,2018-01-28 11:00:00,2018-01-31,3.33,1.499999966472387,10.83999975770712,307.5,1
81,0.4670733,0.3184871,26.181046,0.801228,0.94001514,1.23476696e-08,2018-01-28 11:15:00,2018-01-31,3.44,1.499999966472387,10.83999975770712,307.5,1
82,0.45965403,0.3134853,26.320126,0.794377,0.93902236,1.2000356e-08,2018-01-28 11:30:00,2018-01-31,3.54,1.499999966472387,10.83999975770712,307.5,1
83,0.4753623,0.3895828,26.028252,0.8061016,0.94581026,1.38026905e-08,2018-01-28 11:45:00,2018-01-31,3.63,1.499999966472387,10.83999975770712,307.5,1
84,0.47897887,0.39193606,25.96242,0.7748618,0.9382406,1.4219069e-08,2018-01-28 12:00:00,2018-01-31,3.7,1.5599999651312828,11.009999753907325,307.5,1
85,0.45656544,0.33710742,26.378685,0.81868,0.9500742,1.2240832e-08,2018-01-28 12:15:00,2018-01-31,3.75,1.5599999651312828,11.009999753907325,307.5,1
86,0.47825104,0.36678863,25.975628,0.79756355,0.94272184,1.2909084e-08,2018-01-28 12:30:00,2018-01-31,3.79,1.5599999651312828,11.009999753907325,307.5,1
87,0.47089547,0.35255906,26.110256,0.81398976,0.95038694,1.2465449e-08,2018-01-28 12:45:00,2018-01-31,3.81,1.5599999651312828,11.009999753907325,307.5,1
88,0.46628547,0.35434812,26.19571,0.7991549,0.9422857,1.2480655e-08,2018-01-28 13:00:00,2018-01-31,3.8,1.6099999640136955,11.669999739155172,307.5,1
89,0.4257908,0.34039867,26.984821,0.8082136,0.9506349,1.2670029e-08,2018-01-28 13:15:00,2018-01-31,3.78,1.6099999640136955,11.669999739155172,307.5,1
90,0.4024613,0.31163454,27.474264,0.8195295,0.955297,1.2103072e-08,2018-01-28 13:30:00,2018-01-31,3.74,1.6099999640136955,11.669999739155172,307.5,1
91,0.4334211,0.2921099,26.830545,0.8296693,0.95489913,1.1267161e-08,2018-01-28 13:45:00,2018-01-31,3.67,1.6099999640136955,11.669999739155172,307.5,1
92,0.37184808,0.26854825,28.161434,0.8159476,0.9549581,1.1529352e-08,2018-01-28 14:00:00,2018-01-31,3.59,1.699999962002039,12.249999726191165,307.5,1
93,0.50159043,0.32033527,25.561762,0.7686163,0.9336703,1.1086485e-08,2018-01-28 14:15:00,2018-01-31,3.49,1.699999962002039,12.249999726191165,307.5,1
94,0.3818229,0.2678358,27.931507,0.7847227,0.9453854,1.0364261e-08,2018-01-28 14:30:00,2018-01-31,3.37,1.699999962002039,12.249999726191165,307.5,1
95,0.5459571,0.35875356,24.825577,0.7293368,0.9226579,9.784145e-09,2018-01-28 14:45:00,2018-01-31,3.24,1.699999962002039,12.249999726191165,307.5,1
